,from_person,to_person,timestamp,connection_id,forward
13820,A03600,A02379,2024-08-30 12:13:01.343,A03600_A02379,True
13821,A02379,A03600,2024-08-30 12:13:01.343,A02379_A03600,False
13822,A02070,A02916,2024-08-30 12:15:13.999,A02070_A02916,True
13823,A02916,A02070,2024-08-30 12:15:13.999,A02916_A02070,False
13824,A02227,A03927,2024-08-30 12:15:19.628,A02227_A03927,True
13825,A03927,A02227,2024-08-30 12:15:19.628,A03927_A02227,False
13826,A00065,A00659,2024-08-30 12:15:28.176,A00065_A00659,True
13827,A00659,A00065,2024-08-30 12:15:28.176,A00659_A00065,False
13828,A01205,A00493,2024-08-30 12:15:59.707,A01205_A00493,True
13829,A00493,A01205,2024-08-30 12:15:59.707,A00493_A01205,False
13830,A01031,A00659,2024-08-30 12:16:07.408,A01031_A00659,True
13831,A00659,A01031,2024-08-30 12:16:07.408,A00659_A01031,False
13832,A02163,A02581,2024-08-30 12:16:26.723,A02163_A02581,True
13833,A02581,A02163,2024-08-30 12:16:26.723,A02581_A02163,False
13834,A02968,A01048,2024-08-30 12:16:35.348,A02968_A01048,True
13835,A01048,A02968,2024-08-30 12:16:35.348,A01048_A02968,False
13836,A00215,A02327,2024-08-30 12:16:54.123,A00215_A02327,True
13837,A02327,A00215,2024-08-30 12:16:54.123,A02327_A00215,False
13838,A01194,A02464,2024-08-30 12:17:00.451,A01194_A02464,True
13839,A02464,A01194,2024-08-30 12:17:00.451,A02464_A01194,False
13840,A02163,A01026,2024-08-30 12:22:45.463,A02163_A01026,True
13841,A01026,A02163,2024-08-30 12:22:45.463,A01026_A02163,False
13842,A00250,A00848,2024-08-30 12:24:07.887,A00250_A00848,True
13843,A00848,A00250,2024-08-30 12:24:07.887,A00848_A00250,False
13844,A00754,A02422,2024-08-30 12:24:08.347,A00754_A02422,True
13845,A02422,A00754,2024-08-30 12:24:08.347,A02422_A00754,False
13846,A01218,A01275,2024-08-30 12:24:11.455,A01218_A01275,True
13847,A01275,A01218,2024-08-30 12:24:11.455,A01275_A01218,False
13848,A02773,A02089,2024-08-30 12:24:16.552,A02773_A02089,True
13849,A02089,A02773,2024-08-30 12:24:16.552,A02089_A02773,False
13850,A02773,A02556,2024-08-30 12:24:31.271,A02773_A02556,True
13851,A02556,A02773,2024-08-30 12:24:31.271,A02556_A02773,False
13852,A02330,A01581,2024-08-30 12:24:33.951,A02330_A01581,True
13853,A01581,A02330,2024-08-30 12:24:33.951,A01581_A02330,False
13854,A02791,A02729,2024-08-30 12:28:17.567,A02791_A02729,True
13855,A02729,A02791,2024-08-30 12:28:17.567,A02729_A02791,False
13856,A00093,A00887,2024-08-30 12:28:18.587,A00093_A00887,True
